COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
COMP-192989,,,,06/30/2016,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,6.0,Complaint,Unlicensed Landscaper - Trade Waste,118-22 80th Road,Kew Gardens,NY,11415,Queens,,,,,,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.711013,-73.834444,9,29,773,4079203,4033160040,Kew Gardens
2007-00515,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Cardboard-Theft - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-01419,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196226,,5 BOROUGHS CONTAINERS LLC,BIC-504989,10/20/2021,Trade Waste,Active,WEB-MAIL,Unsubstantiated,Closed,1.0,Complaint,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste,,,,,,5 BOROUGHS CONTAINERS LLC,1635 SHERBOURNE RD,VALLEY STREAM,NY,11580,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-00621,,,TWC-0,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Unlicensed Landscaper - Trade Waste,4617 Delafield Avenue,Bronx,NY,,Bronx,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00095,,,TWC-NaN,,Trade Waste,,WALK IN,Referred To Licensing,Closed,,Complaint,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02255,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00715,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01795,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00952,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00845,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Misinformation - All,103 & Roosevelt,nyc,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193886,Trade Waste,"CITY WASTE SERVICES OF NEW YORK, INC.",BIC-1153,02/13/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,0.0,Complaint,Other - All,33-12 30th Avenue,Astoria,NY,11103,Queens,CITY WASTE SERVICES INC.,167 33 PORTER ROAD,JAMAICA,NY,11434-,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.766057,-73.919597,1,22,63,4009033,4006250046,Astoria
INQ-192055,,,,06/18/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01757,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00351,,,,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Containers-Unremoved - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00292,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00682,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,15-12 Dunbar St.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-01056,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Misinformation - All;Quality of Life-Noise - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-01146,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All;Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-195290,,,,01/28/2020,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-01575,,BORO-WIDE RECYCLING CORP.,TWC-181,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Service - All,111-19A Roosevelt Ave.,,NY,,Queens,BORO-WIDE RECYCLING CORP.,3 RAILROAD PLACE,MASPETH,RENEWAL APPROVED,,(718) 416-1204,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00553,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01903,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00304,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00456,,"JEG, INC.",TWC-2627,,Trade Waste,,FAX,Resolved,Closed,,Complaint,FOIL - All,,,,,,"JEG, INC.",954 MARKET ST,PATERSON,RENEWAL APPROVED,,(973) 357-1111,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-192497,,,,10/08/2015,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191964,Trade Waste,"JORO CARTING, INC.",BIC-180,05/26/2015,Trade Waste,Active,PHONE - 6300,Unsubstantiated,Closed,13.0,Complaint,Service - All,363 avenue x,Brooklyn,NY,11223,Brooklyn,JORO CARTING INC.,1325 61ST STREET,BROOKLYN,NY,11219,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.590627,-73.969557,15,47,388,3194580,3071760040,Homecrest
2009-00992,,,,,Trade Waste,,PHONE - 6275,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195083,,,,08/23/2019,Trade Waste,,311/PHONE - 9278,Resolved,Closed,4.0,Complaint,Containers-Unremoved - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-193592,Trade Waste,CROWN CONTAINER CO. INC.,BIC-307,08/08/2017,Trade Waste,Active,E-Mail,Resolved,Closed,2.0,Complaint,Other - All,Manhattan Ave & Green St,,,,,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,NY,11803,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2009-00503,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00523,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,2 River Terrace,New York,NY,10282-,NYC,N/A,,,,10282-,,,,,,,False,False,,2024-02-21,MANHATTAN,40.715534,-74.016651,1,1,31703,1087518,1000167516,Battery Park City-Lower Manhattan
2009-02118,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190055,,,,01/21/2014,Trade Waste,,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192332,,,,08/19/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Complaint,Quality of Life-Noise - Trade Waste,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01157,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00941,,,TWC-0,,Trade Waste,,MAIL,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,223-06 154 Road,nyc,NY,,Queens,Mr. Lawn Inc.,117-23 168 St.,nyc,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194289,Trade Waste,SANITATION SALVAGE CORP.,BIC-172,08/28/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,2.0,Complaint,Other - All,132-40 Metropolitan Avenue,Richmond Hill,NY,11418,Queens,SANITATION SALVAGE CORP.,421 MANIDA STREET,BRONX,NY,10474,,,,,,,True,False,E-Mail,2024-02-21,QUEENS,40.70297,-73.819236,9,29,14202,4194032,4092840019,Richmond Hill
2012-00328,,"ELITE CARTING, INC.",TWC-1592,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Cardboard-Theft - Trade Waste,Various,UNKNOWN,,,NYC,"ELITE CARTING, INC.",100 PROVIDENCE STREET,STATEN ISLAND,WITHDRAWN,,(718) 351-2279,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01995,,"AVID WASTE SYSTEMS, INC.",TWC-1585,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Spillage - Trade Waste,40-34 Crescent St,nyc,NY,,Queens,AVID WASTE SYSTEMS INC.,1330 OAKPOINT AVE,BRONX,RENEWAL APPROVED,,(718) 991-9700,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00861,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190465,,,,04/22/2014,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,,2024-02-21,,,,,,,,,
2011-00030,,"METROPOLITAN PAPER RECYCLING, INC.",TWC-1431,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Service - All,323 Nostrand Ave,nyc,NY,,Brooklyn,METROPOLITAN PAPER RECYCLING INC.,847 SHEPHERD AVENUE,BROOKLYN,RENEWAL PENDING,,(718) 257-8584,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00725,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00433,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00829,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All;Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-01065,,"FIVE STAR CARTING, INC.",TWC-1719,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Other - All,Keap Street & Ainslie St.,Brooklyn,NY,,Brooklyn,"FIVE STAR CARTING, INC.",5835 47TH STREET,MASPETH,RENEWAL PENDING,,(718) 386-7643,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00660,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,35-11 166 St.,nyc,NY,,Queens,Lisena Landscaping,101-20 99 St.,nyc,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01038,,,,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00910,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Misinformation - All,226 Middle Country Rd.,Selden,NY,11784-,,N/A,,,,11784-,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194304,Trade Waste,SANITATION SALVAGE CORP.,BIC-172,08/31/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,4.0,Complaint,Containers-Unremoved - Trade Waste,2521 Butler Place,Bronx,NY,10461,Bronx,SANITATION SALVAGE CORP.,421 MANIDA STREET,BRONX,NY,10474,,,,,,,True,False,Phone Call,2024-02-21,BRONX,40.838301,-73.842298,10,13,96,2027306,2038580029,Westchester-Unionport
2010-00217,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,UNKNOWN,nyc,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-01278,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Recycling - Trade Waste,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190713,,,,06/20/2014,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,7.0,Complaint,Disposal - All,9502 Ditmas Avenue,Brooklyn,NY,11236,,,,,,,,,,,,,False,True,,2024-02-21,BROOKLYN,40.650537,-73.910951,17,42,960,3345806,3081210038,Canarsie
2008-00027,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Other - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01427,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01640,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194113,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,06/04/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Contracts - Trade Waste,119 Hester St,New York,NY,10002,Manhattan,IESI NY CORPORATION,"99 WOOD AVENUE SOUTH, SUITE 1001",ISELIN,NJ,08830,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.716652,-73.993359,3,1,16,1003946,1003060001,Chinatown
2008-00219,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191545,,,,01/15/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,74 Ralph Avenue,New York,NY,11221,Brooklyn,,,,,,,,,,,,True,False,,2024-02-21,BROOKLYN,40.687494,-73.923637,3,41,385,3045338,3016480044,Stuyvesant Heights
INQ-191294,,,,10/30/2014,Trade Waste,,PHONE - 6300,Insufficient Information,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-01209,,,,,Trade Waste,,MAIL,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,NY,,,N/A,,,,10007-,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190690,,,,06/16/2014,Trade Waste,,311/PHONE - 9278,Insufficient Information,Closed,0.0,Inquiry,Other - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2006-00935,,SANITATION SALVAGE CORP.,TWC-172,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,FOIL - All,,,NY,,,SANITATION SALVAGE CORP.,421 MANIDA STREET,BRONX,RENEWAL APPROVED,,(718) 893-9300,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00630,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Inquiry,Illegal Dumping - Trade Waste,271 Kingston Ave,UNKNOWN,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196250,Trade Waste,D. DANIELS CONTRACTING LTD.,BIC-1187 / BIC-600,11/05/2021,Trade Waste,Active,PHONE - 6300,Resolved,Closed,4.0,Complaint,Service - All,,,,,,D. DANIELS CONTRACTING LTD.,32 Gates Ave,Inwood,NY,11096-1612,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01849,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-193063,,,,08/04/2016,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-194769,,"GPB WASTE NY, LLC",BIC-491402,03/25/2019,Trade Waste,Active,311/PHONE - 9278,Violation Written,Closed,0.0,Complaint,Other - All,,,,,,"GPB WASTE NY, LLC",535 W. 24TH ST. FLOOR 4,NEW YORK,NY,10011,,,,,,,False,True,,2024-02-21,,,,,,,,,
COMP-194779,Trade Waste,CARDELLA WASTE SERVICES OF NEW JERSEY INC,BIC-2509,03/29/2019,Trade Waste,Inactive,WEB-MAIL,Resolved,Closed,3.0,Complaint,Other - All,,,,,,CARDELLA WASTE SERVICES OF NEW JERSEY INC,2400 TONNELLE AVENUE,NORTH BERGEN,NJ,07047-,,,,,,,False,True,,2024-02-21,,,,,,,,,
2009-01623,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Inquiry,Quality of Life-Odor - Trade Waste,on Merrick Blvd (betw 226 & 227),nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193702,,,,10/19/2017,Trade Waste,,PHONE - 6300,Resolved,Closed,6.0,Complaint,Quality of Life-Noise - Trade Waste,445 W 36th Street,Manhattan,NY,10018,Manhattan,,,,,,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.7556,-73.997553,4,3,111,1012887,1007340009,Hudson Yards-Chelsea-Flatiron-Union Square
INQ-191876,,,,04/29/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2011-00230,,"VIKING SANITATION, INC.",TWC-1055,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Other - All,,,,,,VIKING SANITATION INC.,225 BAY 37TH STREET,BROOKLYN,RENEWAL APPROVED,,(800) 889-1254,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00052,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Illegal Dumping - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01272,,,TWC-0,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,PRP Service Enterprise Inc,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-197032,Trade Waste,CALCON GROUP INC.,BIC-2424,09/18/2023,Trade Waste,Active,WEB-MAIL,Resolved,Closed,7.0,Complaint,Quality of Life-Noise - Trade Waste,,,,,,CALCON GROUP INC.,55-18 NURGE AVENUE,MASPETH,NY,11378-,,,,,,,False,True,,2024-02-21,,,,,,,,,
COMP-196014,Trade Waste,CROWN WASTE CORP,BIC-311,06/15/2021,Trade Waste,Active,PHONE - 6300,Resolved,Closed,9.0,Complaint,Other - All,,,,,,CROWN WASTE CORP,P.O. BOX 1133,BETHPAGE,NY,11714-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-196112,,,,08/19/2021,Trade Waste,,REFERRED BY OTHER AGENCY,Resolved,Closed,0.0,Complaint,Service - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-195217,Trade Waste,CROWN WASTE CORP,BIC-311,11/25/2019,Trade Waste,Active,WEB-MAIL,Resolved,Closed,22.0,Complaint,Quality of Life-Spillage - Trade Waste,,,,,,CROWN WASTE CORP,P.O. BOX 1133,BETHPAGE,NY,11714-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00280,,WASTE MAVEN CARTING CORP.,TWC-1841,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Complaint,Service - All,,,NY,,,WASTE MAVEN CARTING CORP.,"516 WEST 175TH STREET, APT #43",NEW YORK,RENEWAL EXTENSION,,(718) 863-0300,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00133,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Service - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01665,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190653,Trade Waste,IMPERIAL SANITATION CORP.,BIC-340,06/05/2014,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,6.0,Complaint,Billing - All;Service - All,37-10 Ditmas Boulevard,New York,,,,IMPERIAL SANITATION CORP.,18-61 41ST STREET,ASTORIA,NY,11105-,,,,,,,False,True,,2024-02-21,,,,,,,,,
2013-00865,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-01053,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Containers-Theft - Trade Waste,,,NY,,,N/A,,,,10302-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00536,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00590,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,Service - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01863,,IMPERIAL SANITATION CORP.,TWC-340,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Containers-Unremoved - Trade Waste,43-46 42 St.,nyc,NY,,Queens,IMPERIAL SANITATION CORP.,18-61 41ST STREET,ASTORIA,RENEWAL PENDING,,(718) 721-2323,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193659,Trade Waste,FLASH RECYCLING CORPORATION,BIC-1258,09/25/2017,Trade Waste,Active,PHONE - 6300,Resolved,Closed,3.0,Complaint,Illegal Dumping - Trade Waste,Henry Street,New York,NY,,Manhattan,FLASH RECYCLING CORP,P. O. BOX 832,LIVINGSTON,NJ,07039-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00784,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Misinformation - All,"107-21  Metropolitan Ave., Forest Hills",,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01682,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,89-05 Springfield Blvd.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192783,Trade Waste,CROWN CONTAINER CO. INC.,BIC-307,03/17/2016,Trade Waste,Active,SELF-INITIATED,Resolved,Closed,0.0,Complaint,Disposal - All,East 83rd St/2nd Ave,New York,NY,10028,,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,NY,11803,,,,,,,True,False,In Person,2024-02-21,,,,,,,,,
2010-01285,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190799,,,,07/09/2014,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,8.0,Complaint,Quality of Life-Odor - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-00291,,ALLSTATE INTERIOR DEMOLITION INC.,TWC-572,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Spillage - Trade Waste,60th Street between Park & Lexington Ave.,NY,NY,,,ALLSTATE INTERIOR DEMOLITION INC.,242 RANDOLPH STREET,BROOKLYN,RENEWAL PENDING,,(718) 779-8400,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00753,,,,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Other - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193341,Trade Waste,NYC OIL CORP,BIC-4482,02/08/2017,Trade Waste,Active,PHONE - 6300,Unsubstantiated,Closed,2.0,Complaint,Other - All,,,,,,NYC OIL CORP,138 SOUTH COLUMBUS AVE,MOUNT VERNON,NY,10553,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2013-00597,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Rates-Overcharge - Trade Waste,,,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL PENDING,10010-,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00680,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste;Quality of Life-Spillage - Trade Waste,,,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL PENDING,10003-,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
